CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date,days_since_survey,severity_priority,recent_fine_amount,fine_date,total_fines_3yr,std_survey_date,std_survey_deficiencies,prospect_score,Inspection Report
145857,THE HAVEN OF ST. ELMO,221 EAST CUMBERLAND,ST ELMO,IL,62458,2026-06-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,L,"Deficient, Provider has date of correction",2026-06-13,1,Y,N,N,N,N,"221 EAST CUMBERLAND,ST ELMO,IL,62458",2026-08-01,87,Critical,14015.0,2026-05-07,14015.0,2026-06-12,12,10,https://www.medicare.gov/care-compare/details/nursing-home/145857
675093,LAKESIDE REHABILITATION AND CARE CENTER,4306 24TH ST,LUBBOCK,TX,79410,2026-06-25,Health,F,Nutrition and Dietary Deficiencies,0814,Dispose of garbage and refuse properly.,E,"Deficient, Provider has date of correction",2026-07-11,1,Y,N,N,N,N,"4306 24TH ST,LUBBOCK,TX,79410",2026-08-01,74,Serious,8994.0,2024-01-17,8994.0,2026-06-25,23,8,https://www.medicare.gov/care-compare/details/nursing-home/675093
515065,Mountain View Care Center,107 MILLER DRIVE,RIPLEY,WV,25271,2026-06-10,Health,F,Nutrition and Dietary Deficiencies,0814,Dispose of garbage and refuse properly.,E,"Deficient, Provider has date of correction",2026-07-15,1,N,Y,N,N,N,"107 MILLER DRIVE,RIPLEY,WV,25271",2026-08-01,89,Serious,34496.0,2025-02-26,34496.0,2025-02-26,37,8,https://www.medicare.gov/care-compare/details/nursing-home/515065
215179,MANOKIN NURSING AND REHAB,11974 EDGEHILL TERRACE,PRINCESS ANNE,MD,21853,2026-07-01,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"11974 EDGEHILL TERRACE,PRINCESS ANNE,MD,21853",2026-08-01,68,Serious,26685.0,2026-04-01,26685.0,2025-09-26,47,8,https://www.medicare.gov/care-compare/details/nursing-home/215179
675444,Reunion Plaza Senior Care and Rehabilitation Cente,1401 Hampton Rd,Texarkana,TX,75503,2026-06-25,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"1401 Hampton Rd,Texarkana,TX,75503",2026-08-01,74,Serious,25441.0,2026-02-26,269387.0,2026-02-26,27,8,https://www.medicare.gov/care-compare/details/nursing-home/675444
056124,TARZANA HEALTH AND REHABILITATION CENTER,5650 RESEDA BLVD,TARZANA,CA,91356,2026-06-18,Health,F,Nutrition and Dietary Deficiencies,0814,Dispose of garbage and refuse properly.,F,"Deficient, Provider has date of correction",2026-07-09,1,Y,N,N,N,N,"5650 RESEDA BLVD,TARZANA,CA,91356",2026-08-01,81,Serious,14380.0,2026-04-30,109634.0,2026-06-18,48,8,https://www.medicare.gov/care-compare/details/nursing-home/056124
345061,PruittHealth-Durham,3100 Erwin Road,Durham,NC,27705,2026-06-12,Health,F,Nutrition and Dietary Deficiencies,0814,Dispose of garbage and refuse properly.,F,"Deficient, Provider has date of correction",2026-07-10,1,Y,N,N,N,N,"3100 Erwin Road,Durham,NC,27705",2026-08-01,87,Serious,34632.0,2025-06-13,34632.0,2026-06-12,32,8,https://www.medicare.gov/care-compare/details/nursing-home/345061
056063,INFINITY CARE OF EAST LOS ANGELES,101 S FICKETT STREET,LOS ANGELES,CA,90033,2026-06-11,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-07-06,1,Y,N,N,N,N,"101 S FICKETT STREET,LOS ANGELES,CA,90033",2026-08-01,88,Serious,9336.0,2025-05-31,65817.0,2026-06-11,34,8,https://www.medicare.gov/care-compare/details/nursing-home/056063
355024,THE MEADOWS ON UNIVERSITY,1315 S UNIVERSITY DR,FARGO,ND,58103,2026-06-10,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-07-15,1,N,Y,N,N,N,"1315 S UNIVERSITY DR,FARGO,ND,58103",2026-08-01,89,Serious,41041.0,2025-04-09,41041.0,2025-04-09,21,8,https://www.medicare.gov/care-compare/details/nursing-home/355024
525549,Greendale Park Nursing and Rehab,5404 W LOOMIS RD,Greendale,WI,53129,2026-07-01,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"5404 W LOOMIS RD,Greendale,WI,53129",2026-08-01,68,Serious,14950.0,2025-03-19,184477.0,2026-01-27,30,8,https://www.medicare.gov/care-compare/details/nursing-home/525549
235433,Greenfield Rehab and Nursing Center,3030 Greenfield Ave,Royal Oak,MI,48073,2026-06-15,Health,F,Nutrition and Dietary Deficiencies,0814,Dispose of garbage and refuse properly.,F,"Deficient, Provider has date of correction",2026-07-09,1,N,Y,N,N,N,"3030 Greenfield Ave,Royal Oak,MI,48073",2026-08-01,84,Serious,26685.0,2025-10-07,367987.0,2025-07-25,25,8,https://www.medicare.gov/care-compare/details/nursing-home/235433
675972,Carrollton Health and Rehabilitation Center,1618 Kirby Rd,Carrollton,TX,75006,2026-06-25,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1618 Kirby Rd,Carrollton,TX,75006",2026-08-01,74,Serious,10358.0,2025-01-14,19185.0,2026-06-25,25,8,https://www.medicare.gov/care-compare/details/nursing-home/675972
515087,CEDAR RIDGE CENTER,302 CEDAR RIDGE ROAD,SISSONVILLE,WV,25320,2026-06-24,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",2026-07-30,1,N,Y,N,N,N,"302 CEDAR RIDGE ROAD,SISSONVILLE,WV,25320",2026-08-01,75,Serious,15935.0,2026-03-18,149858.0,2026-02-24,24,8,https://www.medicare.gov/care-compare/details/nursing-home/515087
