npi,organization_name,practice_address,city,state,zip,taxonomy_code,taxonomy_description,enumeration_date,days_since_enrollment,data_complete
1710820212,"BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM, INC.",930 9TH AVE,MIDDLETOWN,OH,45044,291U00000X,Clinical Medical Laboratory,2026-04-10,0,Yes
1245173764,KAHAK AR INC,400 W CAPITOL AVE STE 1700,LITTLE ROCK,AR,72201,251E00000X,Home Health,2026-04-10,0,Yes
1972446565,KAN-DI-KI LLC,2945 RAMCO ST,WEST SACRAMENTO,CA,95691,291U00000X,Clinical Medical Laboratory,2026-04-10,0,Yes
1467395939,1ST HOME CARE LLC,6287 49TH ST N,SAINT PAUL,MN,55128,251E00000X,Home Health,2026-04-10,0,Yes
1316880990,EZ H & H GROUP,56 CHERRY ST STE E,BROCKTON,MA,02301,251E00000X,Home Health,2026-04-10,0,Yes
1285577767,HENDRICK CLINIC URGENT CARE,820 E AMBLER AVE,ABILENE,TX,79601,261QU0200X,Urgent Care Center,2026-04-10,0,Yes
1962345496,VHIN CARES LLC,226 CLAYTON ST,BRANDON,FL,33511,310400000X,Assisted Living Facility,2026-04-10,0,Yes
1710820311,HOPE RENEWED HEALTH CARE LLC,10115 NE 82ND AVE,VANCOUVER,WA,98662,251E00000X,Home Health,2026-04-10,0,Yes
1982547402,HEALTHCARE FACILITIES LLC,7280 SW STATE ROAD 26,TRENTON,FL,32693,314000000X,Skilled Nursing Facility,2026-04-10,0,Yes
1700729316,KSCO HOME DIALYSIS OF STILLWATER OK LLC,1525 S WESTERN,STILLWATER,OK,74074,261QE0700X,Dialysis / ESRD Treatment Facility,2026-04-10,0,Yes
1639012107,AAIM FIRST INC,213 SUMMIT ST,PONTIAC,MI,48342,251E00000X,Home Health,2026-04-10,0,Yes
1073456521,LEE PETER ENTERPRISE LLC,4612 CATFISH BEND RD,N LAS VEGAS,NV,89031,251E00000X,Home Health,2026-04-10,0,Yes
1306789052,SUNVISTA DIAGNOSTICS,2964 N STATE ROAD 7 STE 320,MARGATE,FL,33063,291U00000X,Clinical Medical Laboratory,2026-04-09,1,Yes
1154264885,RCM GEN LABS LLC,12201 PECOS ST STE 200,DENVER,CO,80234,291U00000X,Clinical Medical Laboratory,2026-04-09,1,Yes
